clustering,assortativity,transitivity,modularity,degree mean,degree std,nodes,edges,shortest path,genres
0.59,0.41,0.28,0.32,0.16,0.26,0.2,0.09,0.24,Comedy
0.94,0.63,0.69,0.67,0.35,0.2,0.19,0.15,0.18,Adventure
0.53,0.24,0.14,0.21,0.06,0.16,0.1,0.03,0.21,Crime
0.64,0.5,0.46,0.63,0.32,0.51,0.48,0.3,0.29,Comedy
0.53,0.42,0.11,0.49,0.12,0.4,0.39,0.14,0.25,Adventure
0.66,0.51,0.55,0.32,0.24,0.21,0.14,0.09,0.22,Action
0.81,0.35,0.46,0.15,0.29,0.32,0.17,0.12,0.15,Crime
0.84,0.54,0.66,0.36,0.66,0.79,0.5,0.57,0.17,Biography
0.59,0.57,0.33,0.58,0.19,0.27,0.41,0.19,0.43,Action
0.66,0.76,0.46,0.77,0.17,0.17,0.43,0.18,0.63,Action
0.59,0.37,0.52,0.21,0.28,0.24,0.13,0.09,0.17,Comedy
0.23,0.54,0.44,0.72,0.12,0.13,0.25,0.09,0.64,Drama
0.59,0.59,0.36,0.58,0.27,0.39,0.57,0.32,0.45,Action
0.73,0.41,0.24,0.27,0.18,0.31,0.24,0.11,0.24,Drama
0.72,0.48,0.39,0.47,0.24,0.34,0.27,0.15,0.2,Adventure
0.53,0.69,0.49,0.46,0.2,0.18,0.24,0.12,0.59,Adventure
0.65,0.54,0.28,0.67,0.2,0.4,0.5,0.23,0.34,Drama
0.8,0.36,0.31,0.3,0.17,0.27,0.26,0.12,0.31,Comedy
0.6,0.42,0.16,0.42,0.17,0.38,0.4,0.17,0.32,Comedy
0.67,0.53,0.27,0.47,0.25,0.44,0.42,0.23,0.26,Drama
0.33,0.48,0.32,0.36,0.13,0.18,0.23,0.09,0.36,Drama
0.61,0.36,0.54,0.19,0.19,0.16,0.08,0.05,0.17,Comedy
0.66,0.29,0.48,0.21,0.24,0.31,0.2,0.12,0.24,Comedy
0.73,0.47,0.21,0.45,0.14,0.27,0.29,0.11,0.29,Adventure
0.59,0.37,0.17,0.29,0.14,0.36,0.29,0.11,0.22,Comedy
0.56,0.46,0.3,0.48,0.14,0.2,0.21,0.09,0.34,Comedy
0.97,0.59,0.83,0.45,0.54,0.37,0.18,0.21,0.09,Drama
0.4,0.13,0.15,0.21,0.05,0.14,0.08,0.02,0.2,Comedy
0.5,0.42,0.11,0.3,0.16,0.5,0.52,0.22,0.27,Crime
0.69,0.36,0.29,0.27,0.19,0.29,0.19,0.1,0.2,Action
0.63,0.36,0.25,0.4,0.14,0.26,0.27,0.11,0.31,Drama
0.46,0.26,0.33,0.24,0.15,0.25,0.16,0.07,0.24,Action
0.6,0.48,0.62,0.14,0.35,0.42,0.25,0.19,0.25,Action
0.62,0.44,0.73,0.02,0.13,0.08,0.03,0.02,0.12,Crime
0.56,0.69,0.39,0.54,0.21,0.25,0.34,0.17,0.41,Action
0.53,0.47,0.4,0.68,0.19,0.28,0.38,0.18,0.39,Comedy
0.39,0.75,0.62,0.55,0.08,0.04,0.04,0.02,0.25,Crime
0.59,0.47,0.2,0.39,0.19,0.47,0.46,0.21,0.25,Biography
0.49,0.38,0.24,0.33,0.13,0.28,0.22,0.09,0.25,Drama
0.31,0.18,0.35,0.22,0.09,0.14,0.08,0.03,0.21,Drama
0.38,0.27,0.33,0.24,0.13,0.21,0.12,0.05,0.17,Crime
0.7,0.38,0.3,0.34,0.2,0.25,0.18,0.09,0.21,Drama
0.83,0.46,0.4,0.63,0.24,0.36,0.34,0.18,0.27,Action
0.63,0.42,0.43,0.34,0.25,0.4,0.32,0.18,0.27,Action
0.68,0.93,0.56,0.4,0.21,0.15,0.19,0.1,0.47,Comedy
0.74,0.6,0.4,0.61,0.39,0.45,0.54,0.4,0.3,Comedy
0.71,0.45,0.54,0.16,0.17,0.14,0.08,0.05,0.23,Action
0.6,0.51,0.38,0.44,0.27,0.43,0.47,0.27,0.35,Drama
0.89,0.4,0.29,0.38,0.19,0.29,0.19,0.1,0.18,Action
0.7,0.65,0.47,0.64,0.28,0.32,0.36,0.21,0.44,Action
0.51,0.37,0.32,0.56,0.2,0.28,0.28,0.14,0.31,Action
0.77,0.36,0.37,0.26,0.31,0.44,0.27,0.18,0.18,Comedy
0.77,0.34,0.54,0.23,0.12,0.06,0.07,0.03,0.26,Crime
0.42,0.34,0.26,0.38,0.14,0.28,0.27,0.11,0.33,Action
0.71,0.5,0.54,0.72,0.22,0.29,0.28,0.15,0.33,Action
0.58,0.45,0.25,0.49,0.14,0.31,0.38,0.15,0.38,Action
0.78,0.62,0.51,0.5,0.46,0.58,0.58,0.48,0.32,Biography
0.78,0.44,0.3,0.39,0.19,0.36,0.3,0.14,0.24,Drama
0.56,0.35,0.42,0.24,0.15,0.2,0.12,0.06,0.19,Action
0.6,0.44,0.94,0,0.17,0.06,0.01,0.02,0.03,Comedy
0.96,0.44,0.28,0.31,0.12,0.2,0.14,0.06,0.18,Action
0.77,0.44,0.31,0.38,0.26,0.43,0.34,0.19,0.21,Drama
0.76,0.36,0.29,0.23,0.3,0.52,0.44,0.27,0.27,Comedy
0.72,0.63,0.4,0.56,0.29,0.4,0.5,0.3,0.41,Action
0.55,0.41,0.36,0.47,0.22,0.35,0.33,0.17,0.32,Drama
0.77,0.32,0.4,0.23,0.18,0.24,0.13,0.07,0.16,Drama
0.75,0.46,0.27,0.5,0.22,0.45,0.42,0.21,0.24,Comedy
0.55,0.64,0.64,0.24,0.5,0.51,0.33,0.31,0.26,Action
0.67,0.54,0.59,0.3,0.45,0.42,0.27,0.24,0.2,Comedy
0.86,0.41,0.45,0.28,0.39,0.45,0.29,0.23,0.17,Drama
0.56,0.48,0.31,0.61,0.13,0.21,0.27,0.11,0.41,Comedy
0.63,0.33,0.29,0.26,0.23,0.4,0.29,0.15,0.22,Comedy
0.75,0.42,0.17,0.43,0.16,0.35,0.37,0.15,0.3,Biography
0.78,0.44,0.06,0.43,0.25,0.78,1,0.51,0.28,Crime
0.87,0.36,0.12,0.45,0.11,0.32,0.25,0.09,0.21,Adventure
0.46,0.39,0,0.56,0.11,0.54,0.73,0.25,0.32,Biography
0.45,0.55,0.51,0.36,0.18,0.18,0.16,0.08,0.34,Horror
0.81,0.43,0.28,0.4,0.23,0.38,0.4,0.21,0.32,Action
0.52,0.54,0.26,0.64,0.18,0.32,0.5,0.22,0.44,Biography
0.58,0.3,0.36,0.13,0.24,0.36,0.23,0.13,0.24,Comedy
0.46,0.48,0.57,0.16,0.31,0.36,0.23,0.16,0.25,Comedy
0.66,0.49,0.5,0.17,0.23,0.28,0.2,0.11,0.27,Action
0.86,0.37,0.43,0.14,0.16,0.17,0.09,0.05,0.14,Horror
0.45,0.61,0.38,0.67,0.14,0.24,0.43,0.16,0.57,Horror
0.64,0.45,0.16,0.42,0.18,0.46,0.42,0.19,0.21,Drama
0.83,0.35,0.54,0.19,0.51,0.44,0.21,0.22,0.12,Adventure
0.65,0.5,0.51,0.48,0.34,0.38,0.3,0.21,0.26,Drama
0.75,0.65,0.83,0.2,0.57,0.56,0.28,0.3,0.19,Drama
0.53,0.44,0.28,0.31,0.18,0.34,0.32,0.15,0.31,Drama
0.77,0.48,0.34,0.69,0.2,0.3,0.48,0.22,0.44,Drama
0.65,0.44,0.37,0.34,0.28,0.43,0.36,0.21,0.26,Drama
0.59,0.57,0.44,0.41,0.27,0.22,0.19,0.12,0.22,Action
0.62,0.39,0.39,0.2,0.2,0.28,0.21,0.11,0.26,Drama
0.7,0.59,0.57,0.3,0.3,0.21,0.15,0.11,0.19,Action
0.81,0.37,0.26,0.44,0.2,0.4,0.33,0.16,0.24,Biography
0.51,0.53,0.28,0.41,0.19,0.3,0.33,0.15,0.34,Action
0.47,0.5,0.31,0.61,0.18,0.35,0.37,0.16,0.32,Adventure
0.63,0.42,0.24,0.49,0.16,0.38,0.34,0.14,0.26,Action
0.48,0.44,0.07,0.47,0.11,0.5,0.6,0.2,0.32,Biography
0.66,0.37,0.46,0.18,0.28,0.3,0.17,0.11,0.17,Crime
0.38,0.37,0.24,0.26,0.09,0.2,0.16,0.05,0.26,Drama
0.8,0.4,0.42,0.44,0.29,0.31,0.23,0.15,0.21,Crime
0.74,0.49,0.29,0.52,0.14,0.2,0.25,0.1,0.37,Drama
0.55,0.62,0.51,0.48,0.28,0.29,0.28,0.17,0.32,Action
0.63,0.35,0.06,0.27,0.1,0.35,0.32,0.11,0.28,Action
0.29,0.28,0.3,0.3,0.07,0.1,0.07,0.02,0.24,Crime
0.63,0.43,0.28,0.36,0.17,0.36,0.31,0.14,0.3,Action
0.56,0.67,0.54,0.36,0.32,0.41,0.35,0.23,0.34,Action
0.59,0.56,0.45,0.58,0.23,0.25,0.24,0.13,0.29,Action
0.54,0.39,0.2,0.39,0.14,0.32,0.24,0.1,0.2,Crime
0.65,0.52,0.33,0.37,0.19,0.27,0.25,0.12,0.27,Action
0.35,0.64,0.33,0.46,0.15,0.17,0.22,0.09,0.38,Action
0.68,0.44,0.35,0.31,0.18,0.21,0.16,0.08,0.22,Action
0.58,0.42,0.52,0.19,0.12,0.14,0.08,0.04,0.22,Drama
0.75,0.4,0.57,0.17,0.19,0.13,0.07,0.05,0.13,Crime
0.64,0.43,0.29,0.23,0.24,0.39,0.36,0.19,0.3,Drama
0.31,0.41,0.24,0.57,0.08,0.14,0.19,0.06,0.38,Action
0.4,0.41,0.21,0.38,0.14,0.34,0.34,0.13,0.32,Biography
0.67,0.39,0.2,0.37,0.15,0.36,0.29,0.12,0.22,Biography
0.57,0.58,0.51,0.63,0.18,0.16,0.21,0.1,0.36,Adventure
0.68,0.16,0.73,0.13,0.12,0.03,0,0.01,0.04,Comedy
0.75,0.6,0.44,0.48,0.31,0.33,0.31,0.21,0.28,Action
0.85,0.38,0.25,0.3,0.29,0.52,0.34,0.21,0.19,Comedy
0.4,0.63,0.47,0.69,0.18,0.18,0.27,0.12,0.44,Horror
0.75,0.65,0.64,0.18,0.36,0.32,0.2,0.16,0.2,Adventure
0.8,0.76,0.64,0.65,0.27,0.2,0.25,0.15,0.37,Drama
0.68,0.3,0.34,0.11,0.12,0.16,0.09,0.04,0.19,Drama
0.86,0.77,0.75,0.28,0.71,0.59,0.34,0.43,0.17,Comedy
0.95,0.59,0.92,0.21,0.5,0.25,0.1,0.13,0.05,Comedy
0.68,0.59,0.33,0.55,0.17,0.27,0.41,0.17,0.43,Comedy
0.67,0.45,0.34,0.32,0.22,0.31,0.25,0.13,0.29,Action
0.79,0.71,0.69,0.19,0.34,0.17,0.11,0.1,0.15,Action
0.47,0.47,0.38,0.35,0.16,0.27,0.24,0.1,0.33,Drama
0.63,0.45,0.38,0.38,0.41,0.6,0.5,0.38,0.25,Action
0.75,0.5,0.28,0.54,0.22,0.42,0.45,0.22,0.29,Comedy
0.42,0.37,0.21,0.44,0.15,0.34,0.43,0.17,0.39,Crime
0.92,0.37,0.32,0.31,0.28,0.47,0.39,0.23,0.31,Comedy
0.69,0.46,0.24,0.44,0.17,0.32,0.26,0.12,0.22,Crime
0.53,0.38,0.28,0.27,0.22,0.41,0.35,0.18,0.26,Drama
0.76,0.39,0.53,0.25,0.51,0.63,0.39,0.37,0.21,Action
0.79,0.46,0.43,0.34,0.38,0.55,0.41,0.3,0.21,Comedy
0.71,0.35,0.37,0.26,0.17,0.21,0.12,0.06,0.16,Drama
0.7,0.56,0.57,0.48,0.51,0.4,0.26,0.26,0.16,Comedy
0.79,0.54,0.64,0.34,0.87,0.79,0.45,0.65,0.16,Biography
0,0.24,0.17,0.53,0.05,0.17,0.22,0.05,0.42,Comedy
0.69,0.46,0.29,0.53,0.27,0.44,0.42,0.24,0.28,Biography
0.63,0.25,0.29,0.16,0.14,0.23,0.12,0.05,0.17,Crime
0.74,0.4,0.32,0.37,0.19,0.3,0.22,0.11,0.2,Horror
0.8,0.43,0.65,0.16,0.31,0.14,0.07,0.07,0.07,Action
0.65,0.65,0.63,0.29,0.46,0.51,0.35,0.31,0.24,Comedy
0.64,0.52,0.32,0.46,0.25,0.36,0.45,0.24,0.36,Drama
0.53,0.33,0.23,0.36,0.16,0.33,0.29,0.12,0.31,Comedy
0.75,0.46,0.82,0.1,0.3,0.13,0.05,0.05,0.05,Comedy
0.72,0.39,0.23,0.67,0.17,0.34,0.67,0.28,0.54,Action
0.55,0.56,0.46,0.41,0.16,0.16,0.15,0.07,0.32,Crime
0.6,0.6,0.31,0.68,0.27,0.42,0.68,0.38,0.45,Comedy
0.67,0.36,0.32,0.26,0.39,0.67,0.51,0.38,0.21,Biography
0.79,0.55,0.64,0.11,0.32,0.29,0.16,0.12,0.18,Action
0.52,0.31,0.33,0.35,0.19,0.33,0.28,0.13,0.29,Comedy
0.69,0.46,0.27,0.47,0.16,0.25,0.31,0.13,0.35,Biography
0.55,0.64,0.43,0.47,0.37,0.44,0.44,0.32,0.34,Adventure
0.45,0.81,0.51,0.43,0.27,0.3,0.35,0.2,0.43,Biography
0.49,0.49,0.19,0.56,0.19,0.42,0.51,0.23,0.32,Action
0.63,0.46,0.33,0.68,0.13,0.14,0.26,0.1,0.47,Drama
0.74,0.13,0.46,0.11,0.1,0.08,0.02,0.01,0.09,Action
0.43,0.32,0.07,0.23,0.09,0.33,0.32,0.1,0.28,Biography
0.53,0.45,0.29,0.51,0.1,0.16,0.18,0.06,0.34,Action
0.62,0.44,0.3,0.55,0.14,0.22,0.24,0.1,0.49,Drama
0.5,0.33,0.42,0.25,0.17,0.25,0.16,0.08,0.22,Drama
0.79,0.5,0.33,0.6,0.2,0.26,0.29,0.14,0.3,Comedy
0.84,0.38,0.64,0.04,0.24,0.23,0.11,0.07,0.16,Horror
0.58,0.9,0.83,0.14,0.16,0.09,0.05,0.03,0.2,Comedy
0.62,0.61,0.56,0.34,0.28,0.28,0.22,0.14,0.26,Adventure
0.7,0.47,0.43,0.5,0.2,0.25,0.2,0.11,0.24,Comedy
0.77,0.2,0.17,0.19,0.15,0.38,0.28,0.11,0.25,Drama
0.64,0.43,0.31,0.37,0.22,0.34,0.3,0.16,0.27,Action
0.77,0.52,0.33,0.51,0.27,0.51,0.59,0.33,0.35,Biography
0.75,0.36,0.11,0.26,0.12,0.31,0.24,0.09,0.2,Comedy
0.64,0.47,0.44,0.29,0.26,0.35,0.29,0.17,0.3,Action
0.4,0.41,0.26,0.71,0.12,0.18,0.24,0.09,0.38,Crime
0.69,0.54,0.27,0.61,0.2,0.33,0.49,0.23,0.39,Comedy
0.67,0.51,0.32,0.44,0.22,0.33,0.31,0.16,0.3,Comedy
0.58,0.26,0.09,0.33,0.13,0.4,0.32,0.12,0.25,Adventure
0.36,0.58,0.42,0.6,0.19,0.25,0.31,0.14,0.4,Comedy
0.52,0.63,0.34,0.56,0.25,0.34,0.53,0.28,0.45,Action
0.51,0.39,0.12,0.39,0.12,0.38,0.38,0.14,0.28,Drama
0.61,0.4,0.32,0.4,0.19,0.29,0.27,0.13,0.28,Drama
0.87,0.45,0.66,0.28,0.49,0.44,0.23,0.23,0.14,Horror
0.9,0.43,0.49,0.29,0.23,0.23,0.13,0.08,0.14,Drama
0.59,0.51,0.24,0.55,0.19,0.41,0.4,0.18,0.24,Comedy
0.67,0.4,0.36,0.42,0.25,0.33,0.27,0.15,0.29,Comedy
0.81,0.48,0.1,0.56,0.23,0.72,0.85,0.42,0.25,Drama
0.24,0.33,0.15,0.62,0.03,0.03,0.11,0.03,0.56,Drama
0.88,0.56,0.43,0.64,0.18,0.22,0.2,0.1,0.22,Comedy
0.39,0.35,0.17,0.38,0.11,0.3,0.27,0.09,0.29,Crime
0.87,0.49,0.76,0.37,0.49,0.22,0.13,0.15,0.07,Drama
0.76,0.45,0.08,0.44,0.16,0.48,0.59,0.24,0.31,Comedy
0.78,0.59,0.37,0.71,0.23,0.31,0.48,0.24,0.42,Drama
0.55,0.48,0.32,0.41,0.18,0.27,0.29,0.13,0.35,Action
0.37,0.42,0.32,0.73,0.11,0.19,0.32,0.11,0.53,Action
0.62,0.41,0.23,0.46,0.16,0.3,0.31,0.13,0.3,Crime
0.85,0.92,0.84,0.22,0.19,0.09,0.06,0.04,0.17,Horror
0.65,0.43,0.51,0.25,0.28,0.3,0.19,0.13,0.23,Adventure
0.98,0.46,0.72,0.23,0.39,0.28,0.13,0.12,0.1,Action
0.66,0.42,0.76,0.05,0.16,0.04,0.01,0.02,0.06,Comedy
0.14,0.3,0.15,0.3,0.04,0.11,0.14,0.04,0.38,Crime
0.4,0.62,0.37,0.58,0.23,0.33,0.44,0.23,0.43,Action
0.54,0.46,0.24,0.62,0.18,0.38,0.5,0.22,0.37,Action
0.76,0.29,0.19,0.29,0.17,0.42,0.35,0.15,0.25,Comedy
0.66,0.85,0.73,0.34,0.3,0.34,0.33,0.21,0.41,Action
0.61,0.66,0.57,0.3,0.23,0.27,0.21,0.12,0.29,Action
0.73,0.47,0.23,0.46,0.14,0.27,0.25,0.1,0.25,Comedy
0.66,0.36,0.24,0.34,0.16,0.47,0.41,0.17,0.24,Drama
0.67,0.63,0.39,0.68,0.17,0.2,0.35,0.15,0.43,Action
0.64,0.56,0.15,0.54,0.2,0.48,0.67,0.31,0.43,Biography
0.74,0.47,0.32,0.54,0.29,0.47,0.49,0.29,0.31,Action
0.76,0.49,0.3,0.44,0.35,0.57,0.61,0.41,0.31,Crime
0.52,0.53,0.38,0.42,0.18,0.19,0.17,0.08,0.27,Comedy
0.42,0.54,0.35,0.53,0.16,0.21,0.22,0.1,0.37,Drama
0.64,0.45,0.28,0.45,0.14,0.24,0.19,0.08,0.22,Action
0.4,0.43,0.24,0.45,0.11,0.2,0.23,0.08,0.39,Action
0.82,0.39,0.36,0.23,0.27,0.4,0.29,0.17,0.23,Drama
0.73,0.54,0.31,0.64,0.3,0.5,0.65,0.39,0.35,Action
0.82,1,0.89,0.25,0.26,0.08,0.07,0.06,0.18,Horror
0.96,0.36,0.15,0.38,0.21,0.52,0.45,0.22,0.25,Comedy
0.6,0.55,0.73,0.1,0.24,0.14,0.06,0.05,0.14,Action
0.61,0.68,0.39,0.67,0.38,0.54,0.86,0.59,0.48,Comedy
0.66,0.35,0.42,0.21,0.27,0.37,0.25,0.16,0.26,Action
0.57,0.25,0.4,0.17,0.25,0.35,0.19,0.12,0.17,Drama
0.64,0.56,0.5,0.44,0.22,0.24,0.21,0.12,0.3,Action
0.75,0.49,0.42,0.69,0.22,0.25,0.26,0.14,0.31,Comedy
0.4,0.48,0.31,0.38,0.18,0.31,0.34,0.15,0.35,Crime
0.59,0.7,0.34,0.62,0.22,0.34,0.69,0.34,0.66,Crime
0.67,0.43,0.52,0.4,0.21,0.25,0.18,0.1,0.24,Biography
0.59,0.45,0.34,0.43,0.26,0.4,0.41,0.23,0.34,Action
0.55,0.6,0.49,0.28,0.25,0.35,0.31,0.17,0.33,Action
0.56,0.32,0.31,0.4,0.13,0.23,0.23,0.09,0.32,Drama
0.39,0.52,0.56,0.17,0.21,0.22,0.14,0.08,0.27,Horror
